	11-29_READ1	11-29_READ2	23-10_READ1	23-10_READ2	23-11_READ1	23-11_READ2	27-49_READ1	27-49_READ2
# Sequences	"2,915,431"	"2,915,431"	"2,613,629"	"2,613,629"	"2,752,946"	"2,752,946"	"2,969,207"	"2,969,207"
Total Bases	"204,555,267"	"204,803,391"	"179,838,218"	"180,111,325"	"191,051,532"	"191,343,525"	"208,383,060"	"208,644,499"
Mean Sequence length	70.16 ± 9.96 bp	70.25 ± 9.89 bp	68.81 ± 11.33 bp	68.91 ± 11.26 bp	69.40 ± 10.72 bp	69.51 ± 10.63 bp	70.18 ± 9.92 bp	70.27 ± 9.85 bp
Min Length	35	35	35	35	35	35	35	35
Max Length	75	75	75	75	75	75	75	75
Mean GC 	62.25 ± 6.65 %	62.34 ± 6.94 %	61.95 ± 6.31 %	62.02 ± 6.62 %	61.94 ± 6.46 %	61.99 ± 6.75 %	61.98 ± 6.45 %	62.09 ± 6.75 %
Sequences with N	"42,238 Ê(1.45 %)"	"40,043 Ê(1.37 %)"	"62,913 Ê(2.41 %)"	"60,732 Ê(2.32 %)"	"47,238 Ê(1.72 %)"	"45,076 Ê(1.64 %)"	"45,214 Ê(1.52 %)"	"43,031 Ê(1.45 %)"
5' Tag Sequence	0	0	0	0	0	0	0	0
3' Tag Sequence	0	0	0	0	0	0	0	0
# Total Duplicates	"1,646,213 Ê(56.47 %)"	"1,552,145 Ê(53.24 %)"	"1,664,879 Ê(63.70 %)"	"1,604,182 Ê(61.38 %)"	"1,521,123 Ê(55.25 %)"	"1,447,474 Ê(52.58 %)"	"1,773,626 Ê(59.73 %)"	"1,667,669 Ê(56.17 %)"
